Tube Name:,strain_number,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P2 Mean FITC-A,All Events  rCV FITC-A,P1 rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P2 rCV FITC-A
01-Well-D5,1,,200000,191147,8171,191829,6,5,21575,163585,185171,100.00%,95.57%,4.09%,95.91%,0.00%,0.00%,10.79%,81.79%,92.59%,100.00%,95.57%,4.09%,95.91%,0.00%,0.00%,11.65%,88.34%,92.59%,22002.3,22665.9,1558.2,22873.1,81083.4,7031,9421.4,24058.1,22354.1,34.59%,33.20%,168.45%,32.86%,73.90%,47.58%,20.57%,29.63%,34.05%
01-Well-D6,1,,200000,189692,137942,62058,0,2,159813,371,160186,100.00%,94.85%,68.97%,31.03%,0.00%,0.00%,79.91%,0.19%,80.09%,100.00%,94.85%,68.97%,31.03%,0.00%,0.00%,99.77%,0.23%,80.09%,4044.5,4160.8,3100.3,6143.2,####,10874.5,4055.1,19818.3,4091.7,38.67%,37.29%,29.13%,18.11%,####,12.28%,38.44%,14.13%,38.53%
01-Well-D7,2,,200000,188285,159120,40880,7,5,124340,17726,142078,100.00%,94.14%,79.56%,20.44%,0.00%,0.00%,62.17%,8.86%,71.04%,100.00%,94.14%,79.56%,20.44%,0.00%,0.00%,87.52%,12.48%,71.04%,4629.8,4773.5,1684.7,16093.2,24134.6,4544,2539.7,19675.4,4678.8,51.71%,50.19%,40.05%,33.85%,31.12%,75.87%,44.17%,21.83%,52.07%
01-Well-D8,1,,200000,188721,4656,195344,2,3,2103,127703,129811,100.00%,94.36%,2.33%,97.67%,0.00%,0.00%,1.05%,63.85%,64.91%,100.00%,94.36%,2.33%,97.67%,0.00%,0.00%,1.62%,98.38%,64.91%,67108.8,69077.5,417.5,68698.4,154973.6,5511.5,2914.1,72529.7,71401.6,39.64%,38.77%,200.92%,38.65%,12.86%,79.98%,170.07%,39.14%,39.81%
01-Well-D9,1,,200000,190896,162848,37152,5,7,110403,277,110692,100.00%,95.45%,81.42%,18.58%,0.00%,0.00%,55.20%,0.14%,55.35%,100.00%,95.45%,81.42%,18.58%,0.00%,0.01%,99.74%,0.25%,55.35%,3638.7,3759.3,2901.5,6870.1,29447.7,3424.9,3438.3,96091.1,3671.3,36.78%,34.75%,31.14%,14.35%,41.72%,101.69%,36.33%,68.04%,36.43%
01-Well-D10,1,,200000,192578,4057,195943,4,1,1874,106293,108172,100.00%,96.29%,2.03%,97.97%,0.00%,0.00%,0.94%,53.15%,54.09%,100.00%,96.29%,2.03%,97.97%,0.00%,0.00%,1.73%,98.26%,54.09%,119620.3,122544.8,375.7,122089.3,32893.1,4889.6,2336.6,126165.2,124015.4,40.26%,39.19%,183.37%,39.29%,27.95%,0.00%,168.47%,39.30%,40.11%
01-Well-D11,1,,200000,192736,5789,194211,2,7,4943,158999,163951,100.00%,96.37%,2.89%,97.11%,0.00%,0.00%,2.47%,79.50%,81.98%,100.00%,96.37%,2.89%,97.11%,0.00%,0.00%,3.01%,96.98%,81.98%,44419.6,45629.1,556.2,45727.1,87498.5,6282.5,4467.7,47089.3,45803.1,33.26%,32.10%,182.77%,32.10%,110.29%,21.57%,117.83%,31.60%,32.68%
01-Well-D12,1,,200000,172121,199909,91,0,1,57671,11,57683,100.00%,86.06%,99.95%,0.05%,0.00%,0.00%,28.84%,0.01%,28.84%,100.00%,86.06%,99.95%,0.05%,0.00%,0.00%,99.98%,0.02%,28.84%,275.5,291.7,258.8,36811.1,####,6194.2,269,77611.2,283.9,106.39%,99.03%,106.41%,90.39%,####,0.00%,105.98%,19.92%,106.00%
01-Well-E1,1,,200000,189041,3442,196558,4,3,1198,97276,98481,100.00%,94.52%,1.72%,98.28%,0.00%,0.00%,0.60%,48.64%,49.24%,100.00%,94.52%,1.72%,98.28%,0.00%,0.00%,1.22%,98.78%,49.24%,40628.4,41588.5,691.8,41327.7,47766,9152.9,4122.9,42899.3,42426.7,37.31%,36.80%,178.46%,36.63%,16.56%,4.12%,155.01%,36.96%,37.40%
01-Well-E2,1,,156691,148537,6781,149910,3,8,2679,57854,60544,100.00%,94.80%,4.33%,95.67%,0.00%,0.01%,1.71%,36.92%,38.64%,100.00%,94.80%,4.33%,95.67%,0.00%,0.01%,4.42%,95.56%,38.64%,74553.9,77690.2,367,77909.6,17929.8,5180.3,3774.2,79099.8,75753.9,37.61%,35.45%,199.41%,35.41%,0.26%,59.04%,177.36%,34.61%,36.63%
