Experiment Name:,Exp_20200331_1

Tube Name:,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,GR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P2 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P2 Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P2 Mean FSC-A
#6-1,#6,94843,73238,43362,29876,205,36567,4377,26763,67912,100.00%,77.22%,45.72%,31.50%,0.22%,38.56%,4.61%,28.22%,71.60%,100.00%,77.22%,59.21%,40.79%,0.30%,53.84%,6.45%,39.41%,92.73%,11991.9,12069.6,138.3,29386.6,15471.7,155.7,-37.4,26829.8,10701.3,10215.1,11168.3,18237.1,908.7,13602.3,18721.2,9291.2,688.6,10991.6,43568.9,44503.1,42527.5,47370.5,48268.3,41385.9,35616.8,43312.7,41794.1
#6-2,,94962,73456,43322,30134,192,36090,4925,26976,68183,100.00%,77.35%,45.62%,31.73%,0.20%,38.00%,5.19%,28.41%,71.80%,100.00%,77.35%,58.98%,41.02%,0.28%,52.93%,7.22%,39.56%,92.82%,12031.9,12173.8,127.4,29492.2,15417.5,147.0,-41.3,26790.9,10717.8,10167.8,11243.5,18434.1,905.9,13829.1,19144.1,9215.1,694.4,11112.5,43277.3,44398.6,42295.6,47422.1,49702.6,41259.6,35711.3,43184.3,41644.1
#8-1,,95823,73294,52206,21088,140,44490,4347,18849,67826,100.00%,76.49%,54.48%,22.01%,0.15%,46.43%,4.54%,19.67%,70.78%,100.00%,76.49%,71.23%,28.77%,0.21%,65.59%,6.41%,27.79%,92.54%,8537.7,8697.9,151.9,29854.5,18976.9,165.7,-43.4,27374.0,7752.4,12294.5,13673.6,18801.3,979.3,13343.8,19125.2,9355.8,688.5,13363.5,42604.0,44585.8,43438.6,47426.1,50676.0,41802.2,35745.0,43311.2,41851.7
#8-2,,97338,72936,51793,21143,144,43201,5292,18957,67594,100.00%,74.93%,53.21%,21.72%,0.15%,44.38%,5.44%,19.48%,69.44%,100.00%,74.93%,71.01%,28.99%,0.21%,63.91%,7.83%,28.05%,92.68%,8554.5,8730.5,134.4,29788.1,17471.4,152.4,-49.8,27350.2,7801.2,11969.2,13495.8,18602.5,986.1,22943.7,19073.8,9311.3,676.2,13158.1,47622.7,44298.4,43138.6,47139.4,50820.8,41609.2,36532.5,43206.9,41679.5
#8-3,,96030,72774,51380,21394,154,42704,5674,19196,67728,100.00%,75.78%,53.50%,22.28%,0.16%,44.47%,5.91%,19.99%,70.53%,100.00%,75.78%,70.60%,29.40%,0.23%,63.05%,8.38%,28.34%,93.07%,8831.6,8734.3,123.3,29414.5,15996.9,142.9,-53.1,26948.2,7759.9,12499.4,13780.1,19114.1,970.0,13858.1,19752.7,9834.2,690.7,13505.6,42515.4,43897.7,42600.6,47012.7,50483.6,41387.2,36000.1,43146.0,41455.1
#7-1,,95840,73407,52186,21221,154,43395,5406,18907,67862,100.00%,76.59%,54.45%,22.14%,0.16%,45.28%,5.64%,19.73%,70.81%,100.00%,76.59%,71.09%,28.91%,0.23%,63.95%,7.97%,27.86%,92.45%,8740.0,8725.0,129.3,29863.3,19196.3,147.4,-57.2,27471.3,7787.0,12698.6,13919.1,19170.6,1004.7,15184.2,19666.6,9919.7,697.6,13595.0,43235.3,44674.7,43447.2,47693.2,51380.8,41923.2,36139.2,43535.9,41933.2
#7-2,,95855,73126,51802,21324,155,43216,5372,19104,67847,100.00%,76.29%,54.04%,22.25%,0.16%,45.08%,5.60%,19.93%,70.78%,100.00%,76.29%,70.84%,29.16%,0.23%,63.70%,7.92%,28.16%,92.78%,8920.9,8810.6,127.6,29903.9,17335.1,145.5,-51.3,27455.3,7858.9,12751.0,14012.5,19382.8,966.4,13418.9,19924.9,9793.1,700.2,13694.7,43591.4,44339.9,43105.7,47338.3,50828.4,41660.4,36231.3,43325.9,41720.4
#9-1,,91139,72977,35171,37806,215,29348,3552,33921,67036,100.00%,80.07%,38.59%,41.48%,0.24%,32.20%,3.90%,37.22%,73.55%,100.00%,80.07%,48.19%,51.81%,0.32%,43.78%,5.30%,50.60%,91.86%,15440.3,14822.8,145.2,28477.4,19584.3,160.0,-21.0,26168.7,13373.4,8757.9,9086.7,17868.4,917.1,13486.6,18426.7,8346.1,671.9,8892.6,46064.2,45598.4,43413.2,47631.3,49644.1,41903.5,35921.5,43531.7,42435.2
#9-2,,91374,73311,35095,38216,210,28941,4047,34498,67696,100.00%,80.23%,38.41%,41.82%,0.23%,31.67%,4.43%,37.75%,74.09%,100.00%,80.23%,47.87%,52.13%,0.31%,42.75%,5.98%,50.96%,92.34%,15289.4,14838.8,136.8,28340.1,17747.9,153.8,-13.8,26044.1,13392.1,8624.6,8980.4,17744.9,931.7,24650.7,18535.3,8304.6,677.4,8842.2,45278.9,45046.1,42811.1,47098.6,49503.8,41428.8,36438.9,43126.2,42020.6
#10-1,,98651,72951,35812,37139,195,29753,3615,33426,66989,100.00%,73.95%,36.30%,37.65%,0.20%,30.16%,3.66%,33.88%,67.91%,100.00%,73.95%,49.09%,50.91%,0.29%,44.41%,5.40%,49.90%,91.83%,14028.8,14457.3,147.7,28255.7,16297.6,162.0,-3.9,26077.2,13131.1,8281.4,9174.4,17822.3,835.5,8723.8,18468.4,8142.4,684.0,9008.8,47249.6,45643.5,43653.1,47562.8,49572.0,42045.1,36243.9,43616.6,42538.1
