Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,GR Events,GFP Events,H1-LL Events,mCherry Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,GFP % Total,H1-LL % Total,mCherry % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,GR Mean FITC-A,GFP Mean FITC-A,H1-LL Mean FITC-A,mCherry Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,GR Mean ECD-A,GFP Mean ECD-A,H1-LL Mean ECD-A,mCherry Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,GR Mean FSC-A,GFP Mean FSC-A,H1-LL Mean FSC-A,mCherry Mean FSC-A,All Events  rCV FSC-A,V1L rCV FSC-A,V1R rCV FSC-A,P1 rCV FSC-A,V2L rCV FSC-A,V2R rCV FSC-A,GR rCV FSC-A,GFP rCV FSC-A,H1-LL rCV FSC-A,mCherry rCV FSC-A,All Events  rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,P1 rCV FITC-A,V2L rCV FITC-A,V2R rCV FITC-A,GR rCV FITC-A,GFP rCV FITC-A,H1-LL rCV FITC-A,mCherry rCV FITC-A,All Events  rCV ECD-A,V1L rCV ECD-A,V1R rCV ECD-A,P1 rCV ECD-A,V2L rCV ECD-A,V2R rCV ECD-A,GR rCV ECD-A,GFP rCV ECD-A,H1-LL rCV ECD-A,mCherry rCV ECD-A
#241,0.24,100000,949,80313,81262,81185,77,3,80264,914,81,100.00%,0.95%,80.31%,81.26%,81.19%,0.08%,0.00%,80.26%,0.91%,0.08%,100.00%,1.17%,98.83%,81.26%,99.91%,0.09%,0.00%,98.77%,1.12%,0.10%,36066.1,239.2,31572.2,31206.3,31193.7,44478.5,8442.4,31590.2,298.6,425.2,739.9,936.8,651.3,654.7,644.8,11104.0,11072.1,651.2,239.6,8397.3,51592.7,38044.7,45010.8,44929.5,44919.6,55331.0,33056.1,45014.4,37649.8,43298.6,46.74%,38.56%,37.72%,37.73%,37.73%,48.51%,12.47%,37.72%,37.70%,46.06%,53.13%,90.84%,45.10%,45.63%,45.59%,149.26%,35.42%,45.06%,93.63%,85.44%,71.39%,231.25%,63.19%,63.99%,63.95%,29.33%,46.20%,63.13%,260.79%,69.26%
#242,0.24,100000,1017,79461,80478,80402,76,3,79412,979,84,100.00%,1.02%,79.46%,80.48%,80.40%,0.08%,0.00%,79.41%,0.98%,0.08%,100.00%,1.26%,98.74%,80.48%,99.91%,0.09%,0.00%,98.68%,1.22%,0.10%,35668.1,237.1,31223.0,30831.4,30783.4,81669.0,7204.9,31240.9,285.6,522.3,707.3,524.0,636.4,635.0,629.0,6952.0,1512.4,636.6,124.3,4987.7,51440.8,38924.7,44659.5,44587.0,44572.9,59517.7,40865.0,44660.2,38621.8,45030.3,47.48%,40.07%,38.06%,38.09%,38.06%,50.21%,16.15%,38.06%,38.92%,52.27%,53.11%,88.37%,44.54%,45.15%,45.10%,147.62%,4.15%,44.51%,90.25%,89.00%,71.01%,261.35%,62.57%,63.54%,63.51%,20.40%,20.40%,62.55%,287.65%,57.11%
#243,0,100000,56028,25802,81830,26663,55167,271,25518,7953,48088,100.00%,56.03%,25.80%,81.83%,26.66%,55.17%,0.27%,25.52%,7.95%,48.09%,100.00%,68.47%,31.53%,81.83%,32.58%,67.42%,0.33%,31.18%,9.72%,58.77%,10829.5,145.5,27651.9,8818.6,26478.6,283.2,22492.0,27720.0,-45.4,177.4,11718.1,17208.3,821.8,12041.4,644.5,17549.7,17889.9,637.4,12683.0,17953.9,44252.3,41363.7,43876.5,42156.1,43382.9,41563.1,62047.3,43684.6,37066.1,42074.6,46.29%,37.51%,38.98%,37.99%,38.81%,37.52%,32.74%,38.80%,35.31%,37.47%,120.39%,90.82%,46.61%,114.54%,48.66%,90.53%,57.17%,46.51%,112.85%,68.54%,130.42%,46.77%,63.80%,121.10%,66.16%,45.51%,42.91%,63.53%,50.36%,46.03%
#244,0,100000,78900,1413,80313,2609,77704,33,1376,11067,67837,100.00%,78.90%,1.41%,80.31%,2.61%,77.70%,0.03%,1.38%,11.07%,67.84%,100.00%,98.24%,1.76%,80.31%,3.25%,96.75%,0.04%,1.71%,13.78%,84.47%,782.5,144.2,28215.9,638.1,15111.3,152.1,18133.3,28535.2,-52.9,176.4,16522.3,17060.5,985.8,16777.7,764.8,17315.4,14893.0,637.0,12861.9,17744.8,41210.6,41810.3,42730.8,41826.5,39801.0,41894.5,59485.2,42332.3,37667.7,42486.1,48.85%,39.08%,40.68%,39.09%,40.72%,39.02%,28.88%,40.23%,38.23%,38.90%,95.35%,91.12%,49.56%,91.41%,146.94%,90.89%,42.45%,49.59%,108.09%,68.93%,50.60%,46.04%,63.84%,47.15%,106.15%,45.17%,45.61%,61.79%,48.41%,45.41%
#245,0.06,100000,54475,28329,82804,29239,53565,302,27991,7724,46787,100.00%,54.47%,28.33%,82.80%,29.24%,53.57%,0.30%,27.99%,7.72%,46.79%,100.00%,65.79%,34.21%,82.80%,35.31%,64.69%,0.36%,33.80%,9.33%,56.50%,11764.7,146.6,28271.3,9768.7,27143.1,284.6,18068.5,28415.7,-43.2,179.0,11392.8,17702.2,746.6,11901.3,627.7,18055.2,11715.3,620.3,13290.1,18422.3,43938.6,40891.3,43470.6,41773.7,42994.0,41107.6,56168.9,43339.6,36545.5,41607.1,46.02%,37.73%,39.37%,38.29%,39.35%,37.73%,42.16%,39.24%,37.05%,37.39%,125.92%,89.93%,45.55%,120.35%,47.60%,89.76%,108.20%,45.31%,115.85%,68.55%,135.16%,45.79%,65.28%,130.82%,67.29%,44.66%,85.08%,64.71%,49.88%,45.21%
#246,0.06,100000,83090,3621,86711,4783,81928,169,3439,11881,71222,100.00%,83.09%,3.62%,86.71%,4.78%,81.93%,0.17%,3.44%,11.88%,71.22%,100.00%,95.82%,4.18%,86.71%,5.52%,94.48%,0.19%,3.97%,13.70%,82.14%,1440.8,140.1,25801.7,1211.7,19198.8,161.6,10756.7,26632.3,-49.8,172.0,16216.0,17125.0,955.6,16449.8,653.2,17372.0,7670.7,615.4,13225.8,17773.0,40980.1,40582.5,42782.6,40674.4,40517.6,40683.6,48610.5,42520.1,36173.7,41317.3,42.08%,36.92%,37.91%,36.96%,37.40%,36.96%,44.71%,37.52%,35.79%,37.07%,96.08%,91.95%,47.52%,92.78%,92.16%,91.92%,80.61%,45.48%,109.01%,69.47%,51.88%,45.15%,68.34%,47.85%,85.83%,44.39%,70.52%,66.03%,46.17%,44.93%
#247,0.09,100000,43479,39477,82956,39766,43190,820,38537,6327,37272,100.00%,43.48%,39.48%,82.96%,39.77%,43.19%,0.82%,38.54%,6.33%,37.27%,100.00%,52.41%,47.59%,82.96%,47.94%,52.06%,0.99%,46.45%,7.63%,44.93%,14802.6,148.2,26534.7,12704.9,26101.8,370.1,10357.7,26956.6,-32.6,183.5,9793.0,18679.6,794.1,10168.2,601.8,18976.3,9118.9,599.3,14075.2,19421.9,44451.0,40137.9,42532.8,41277.6,42219.5,40410.5,48886.4,42415.1,36230.5,40790.9,45.00%,36.85%,38.63%,37.65%,38.54%,36.94%,42.51%,38.54%,35.56%,36.84%,175.26%,91.99%,44.34%,177.41%,45.01%,91.85%,83.24%,43.61%,116.54%,69.69%,154.49%,46.10%,66.57%,139.70%,67.58%,45.28%,69.54%,65.50%,50.84%,45.75%
#248,0.09,100000,69845,14746,84591,15548,69043,434,14246,11326,58585,100.00%,69.85%,14.75%,84.59%,15.55%,69.04%,0.43%,14.25%,11.33%,58.59%,100.00%,82.57%,17.43%,84.59%,18.38%,81.62%,0.51%,16.84%,13.39%,69.26%,5624.8,131.4,25872.8,4618.7,24174.0,215.0,11384.6,26426.4,-49.8,168.2,15553.7,18596.9,910.0,15513.7,621.3,18867.3,11664.5,615.7,14695.7,19323.0,44221.4,41341.2,43356.1,41692.5,42564.2,41496.2,52983.9,43093.3,37759.4,42028.5,42.89%,36.97%,38.43%,37.20%,37.94%,37.01%,44.29%,38.09%,36.18%,37.07%,107.35%,99.81%,42.37%,104.68%,46.23%,99.77%,93.59%,41.43%,108.32%,71.63%,71.89%,46.31%,65.41%,63.18%,70.33%,45.55%,84.68%,64.24%,46.88%,46.12%
#249,0.12,100000,8378,74180,82558,74339,8219,854,73243,1645,6816,100.00%,8.38%,74.18%,82.56%,74.34%,8.22%,0.85%,73.24%,1.65%,6.82%,100.00%,10.15%,89.85%,82.56%,90.04%,9.96%,1.03%,88.72%,1.99%,8.26%,29441.6,188.8,27912.9,25099.5,27716.5,1429.6,9372.9,28159.0,113.1,223.9,3162.9,25048.7,704.3,3174.8,597.6,26484.3,8943.4,601.1,10285.9,28391.6,48309.5,39901.4,42561.5,42291.6,42446.2,40892.9,45444.4,42534.1,37207.6,40517.7,46.11%,37.34%,38.19%,38.05%,38.22%,37.09%,37.62%,38.17%,38.60%,36.55%,60.45%,83.85%,44.54%,51.01%,44.76%,85.65%,78.70%,44.01%,920.11%,69.49%,79.20%,61.93%,65.96%,71.20%,66.34%,57.55%,57.98%,65.31%,199.62%,53.63%
#250,0.12,100000,15793,67970,83763,67008,16755,2102,65682,2424,13555,100.00%,15.79%,67.97%,83.76%,67.01%,16.75%,2.10%,65.68%,2.42%,13.56%,100.00%,18.85%,81.15%,83.76%,80.00%,20.00%,2.51%,78.41%,2.89%,16.18%,23682.9,185.1,25515.1,20739.3,25611.5,1253.9,8210.9,26136.8,45.0,228.7,5197.2,24256.3,846.5,5260.3,590.5,23936.3,8197.6,588.7,13470.0,25973.4,45692.7,39255.4,41513.0,41087.3,41381.5,39910.5,42241.3,41499.2,36165.4,39792.4,44.58%,35.73%,37.77%,37.41%,37.77%,35.87%,37.86%,37.75%,35.76%,35.71%,75.40%,86.15%,43.44%,61.94%,43.00%,90.29%,69.09%,42.01%,463.06%,71.16%,87.82%,55.05%,67.41%,80.36%,67.29%,57.22%,56.49%,66.06%,144.26%,52.42%
#251,0.24,100000,1229,83764,84993,84910,83,1,83710,1158,124,100.00%,1.23%,83.76%,84.99%,84.91%,0.08%,0.00%,83.71%,1.16%,0.12%,100.00%,1.45%,98.55%,84.99%,99.90%,0.10%,0.00%,98.49%,1.36%,0.15%,33855.5,214.6,30164.0,29730.9,29691.4,70165.6,1991.2,30182.3,258.5,485.3,675.0,790.9,600.7,603.5,594.8,9533.5,7871.9,600.8,211.3,5996.4,48925.1,37685.7,42965.2,42888.8,42873.2,58885.6,47932.2,42964.8,37435.6,42521.7,46.15%,48.33%,38.73%,38.86%,38.84%,59.09%,0.00%,38.72%,48.24%,46.99%,53.36%,91.85%,45.84%,46.58%,46.54%,179.86%,0.00%,45.81%,94.96%,66.90%,74.33%,216.35%,66.37%,67.55%,67.52%,28.18%,0.00%,66.32%,244.21%,63.01%
#252,0.24,100000,1282,83485,84767,84691,76,4,83442,1220,101,100.00%,1.28%,83.49%,84.77%,84.69%,0.08%,0.00%,83.44%,1.22%,0.10%,100.00%,1.51%,98.49%,84.77%,99.91%,0.09%,0.00%,98.44%,1.44%,0.12%,33539.7,219.9,29870.1,29421.7,29396.7,57248.7,25751.1,29883.4,251.1,451.0,659.9,730.7,593.5,595.6,586.7,10462.7,7435.0,593.4,190.7,7040.4,47802.0,37555.8,41954.6,41888.0,41876.5,54702.9,55231.5,41953.3,37395.7,41728.9,46.47%,43.97%,39.00%,39.06%,39.04%,50.22%,28.82%,39.00%,43.17%,53.83%,53.08%,92.12%,45.43%,46.20%,46.14%,158.25%,48.33%,45.38%,94.47%,87.75%,74.49%,239.86%,66.56%,67.68%,67.62%,27.47%,50.46%,66.51%,265.21%,66.64%
#253,0,100000,61901,27274,89175,28151,61024,355,26887,9016,52917,100.00%,61.90%,27.27%,89.17%,28.15%,61.02%,0.36%,26.89%,9.02%,52.92%,100.00%,69.42%,30.58%,89.17%,31.57%,68.43%,0.40%,30.15%,10.11%,59.34%,9547.0,141.9,26576.0,8226.7,25397.1,305.8,22095.3,26664.9,-44.1,174.4,10292.7,14567.2,722.3,10332.7,559.8,14841.1,14287.9,536.8,10775.2,15208.1,43724.9,41165.4,41927.3,41398.4,41227.3,41477.3,67234.3,41602.5,36341.6,41983.0,42.08%,37.40%,39.52%,37.99%,39.30%,37.47%,28.68%,39.15%,35.78%,37.24%,117.12%,91.73%,46.42%,114.02%,48.81%,91.80%,50.04%,46.36%,113.54%,68.91%,126.22%,47.14%,71.45%,114.44%,73.47%,46.00%,42.53%,70.88%,49.75%,46.70%
#254,0,100000,87675,1484,89159,3186,85973,30,1448,10322,77359,100.00%,87.67%,1.48%,89.16%,3.19%,85.97%,0.03%,1.45%,10.32%,77.36%,100.00%,98.34%,1.66%,89.16%,3.57%,96.43%,0.03%,1.62%,11.58%,86.77%,751.5,157.8,28220.0,624.9,12980.5,167.0,23050.6,28436.9,-46.1,185.1,13671.5,13826.8,790.6,13609.8,1018.4,14076.4,12549.4,520.7,10169.0,14314.3,43059.0,42124.6,42159.0,42125.2,37556.2,42294.5,65174.3,41660.1,36241.5,42910.0,41.66%,37.78%,39.08%,37.81%,39.82%,37.72%,26.62%,38.36%,36.57%,37.62%,85.55%,82.43%,47.67%,82.81%,177.92%,82.20%,55.43%,47.33%,115.94%,65.62%,51.49%,47.41%,75.86%,48.40%,122.95%,46.26%,32.58%,75.51%,51.05%,46.71%
#255,0.06,100000,60133,28301,88434,29143,59291,367,27904,8547,51616,100.00%,60.13%,28.30%,88.43%,29.14%,59.29%,0.37%,27.90%,8.55%,51.62%,100.00%,68.00%,32.00%,88.43%,32.95%,67.05%,0.41%,31.55%,9.66%,58.37%,9951.9,144.1,26656.3,8628.7,25648.1,263.2,17134.1,26808.5,-42.7,175.9,10415.5,15433.7,684.5,10713.6,545.2,15711.7,12044.0,529.5,11549.1,16071.4,42045.3,40260.0,41396.7,40623.8,40874.4,40500.6,58308.4,41175.8,35481.9,41051.0,42.40%,36.90%,38.80%,37.49%,38.68%,36.92%,36.99%,38.51%,35.27%,36.92%,119.29%,89.86%,46.14%,115.27%,48.07%,89.78%,80.16%,45.99%,112.12%,68.34%,131.72%,45.61%,71.83%,120.80%,73.68%,44.59%,86.42%,71.23%,48.37%,45.02%
#256,0.06,100000,85236,3751,88987,5605,83382,130,3606,13224,72027,100.00%,85.24%,3.75%,88.99%,5.60%,83.38%,0.13%,3.61%,13.22%,72.03%,100.00%,95.78%,4.22%,88.99%,6.30%,93.70%,0.15%,4.05%,14.86%,80.94%,1331.6,136.9,24785.3,1175.9,16383.2,153.7,13007.1,25306.5,-46.2,170.8,13589.2,14289.0,778.5,13719.5,669.7,14596.8,6950.0,532.5,10996.7,14891.9,40635.8,40079.2,41155.4,40124.6,38456.2,40236.7,53487.5,40703.9,35993.1,40829.9,41.94%,37.84%,38.44%,37.86%,37.98%,37.82%,38.09%,37.96%,36.18%,37.88%,97.84%,94.70%,46.98%,95.22%,143.82%,94.53%,77.93%,45.10%,115.54%,69.77%,52.95%,46.61%,76.18%,49.20%,103.94%,45.31%,85.99%,74.42%,50.52%,45.70%
#257,0.09,100000,48699,40467,89166,40683,48483,853,39568,6930,41815,100.00%,48.70%,40.47%,89.17%,40.68%,48.48%,0.85%,39.57%,6.93%,41.82%,100.00%,54.62%,45.38%,89.17%,45.63%,54.37%,0.96%,44.38%,7.77%,46.90%,14301.4,139.8,28164.3,12858.4,27679.5,421.8,16804.3,28440.1,-40.2,171.3,8330.2,14906.3,751.6,8482.4,503.1,15177.9,12911.0,484.3,11536.9,15454.0,39405.1,37259.8,38099.6,37640.9,37665.2,37620.6,51073.6,37825.4,33212.0,37926.3,43.40%,38.05%,39.55%,38.75%,39.48%,38.20%,50.38%,39.32%,36.57%,37.78%,166.17%,90.80%,45.66%,164.22%,46.58%,90.95%,87.31%,45.17%,113.25%,68.34%,139.70%,46.53%,76.69%,138.22%,77.19%,45.65%,95.40%,75.93%,49.20%,46.11%
#258,0.09,100000,73675,15128,88803,16359,72444,487,14612,9653,64051,100.00%,73.68%,15.13%,88.80%,16.36%,72.44%,0.49%,14.61%,9.65%,64.05%,100.00%,82.96%,17.04%,88.80%,18.42%,81.58%,0.55%,16.45%,10.87%,72.13%,4840.9,151.3,24125.2,4235.4,21969.0,230.9,13500.0,24524.0,-40.4,180.9,12248.6,14574.0,783.4,12224.7,528.4,14865.9,9812.4,473.7,10516.6,15181.2,41689.2,40133.6,40642.3,40220.2,39622.0,40355.3,52655.7,40249.4,35100.5,40890.6,42.53%,38.01%,39.57%,38.26%,39.28%,38.01%,54.02%,39.08%,35.97%,38.08%,95.53%,86.15%,43.18%,92.51%,48.76%,85.69%,92.32%,42.30%,116.75%,67.07%,71.75%,47.63%,78.34%,64.45%,84.28%,46.54%,102.50%,76.98%,51.61%,47.10%
#259,0.12,100000,8164,79516,87680,79489,8191,882,78558,1606,6634,100.00%,8.16%,79.52%,87.68%,79.49%,8.19%,0.88%,78.56%,1.61%,6.63%,100.00%,9.31%,90.69%,87.68%,90.66%,9.34%,1.01%,89.60%,1.83%,7.57%,27022.1,168.3,26861.8,24376.3,26727.4,1560.5,10970.5,27064.6,113.1,198.7,2556.8,21797.0,578.3,2554.0,505.5,22433.6,6998.1,504.2,11569.8,24054.2,42446.1,37762.3,38927.1,38818.6,38836.5,38645.4,41436.3,38900.9,34588.5,38520.6,44.40%,37.67%,38.79%,38.66%,38.76%,37.71%,41.34%,38.77%,38.97%,37.02%,57.04%,91.75%,44.96%,51.09%,45.11%,93.56%,64.16%,44.48%,693.80%,72.15%,83.43%,57.97%,73.13%,77.83%,73.52%,56.61%,57.34%,72.68%,145.83%,52.77%
#260,0.12,100000,15980,72665,88645,72084,16561,1920,70625,2593,13507,100.00%,15.98%,72.66%,88.64%,72.08%,16.56%,1.92%,70.63%,2.59%,13.51%,100.00%,18.03%,81.97%,88.64%,81.32%,18.68%,2.17%,79.67%,2.93%,15.24%,22410.9,164.1,25015.7,20535.7,24925.1,1430.0,11289.4,25428.6,43.5,200.1,4279.8,20657.2,682.1,4283.0,523.9,20644.8,7030.2,512.6,12195.4,22088.0,42293.6,38753.4,39634.0,39475.2,39415.5,39735.3,43010.4,39552.5,34701.1,39485.1,43.29%,37.19%,38.66%,38.35%,38.55%,37.61%,43.58%,38.53%,36.93%,36.78%,68.27%,89.38%,44.53%,61.10%,44.55%,90.85%,61.06%,43.52%,227.43%,69.23%,91.57%,56.00%,74.64%,86.52%,74.61%,56.89%,57.80%,73.39%,128.27%,52.53%
#261,0.24,100000,857,85672,86529,86414,115,6,85630,765,128,100.00%,0.86%,85.67%,86.53%,86.41%,0.12%,0.01%,85.63%,0.77%,0.13%,100.00%,0.99%,99.01%,86.53%,99.87%,0.13%,0.01%,98.96%,0.88%,0.15%,32169.1,228.2,29101.1,28815.1,28792.7,45640.9,4854.2,29114.3,285.0,330.3,566.0,1593.5,506.5,517.2,502.7,11481.9,4943.7,506.2,260.6,9208.1,45281.0,36751.9,40693.7,40654.6,40644.3,48391.7,36304.0,40694.2,36424.6,39657.3,44.80%,44.94%,38.86%,38.93%,38.93%,52.85%,5.37%,38.86%,44.60%,45.04%,51.39%,103.62%,45.57%,46.07%,46.01%,98.48%,53.70%,45.55%,110.53%,85.18%,78.08%,230.36%,72.06%,72.83%,72.80%,79.69%,99.29%,72.04%,286.51%,111.81%
#262,0.24,100000,810,85055,85865,85805,60,3,84999,772,91,100.00%,0.81%,85.05%,85.87%,85.80%,0.06%,0.00%,85.00%,0.77%,0.09%,100.00%,0.94%,99.06%,85.87%,99.93%,0.07%,0.00%,98.99%,0.90%,0.11%,32424.4,242.3,29283.2,29009.3,29002.4,38792.5,11331.2,29301.0,328.6,418.0,549.9,1036.4,492.0,497.2,489.5,11520.0,3487.1,492.0,191.0,7821.9,45466.9,37110.5,40531.4,40499.1,40491.5,51362.3,52657.1,40530.1,36782.7,42703.8,45.46%,46.39%,39.15%,39.22%,39.22%,50.31%,25.68%,39.14%,47.26%,44.35%,51.36%,101.10%,45.36%,45.86%,45.82%,117.32%,82.01%,45.33%,106.70%,66.32%,79.09%,232.30%,72.80%,73.54%,73.51%,57.67%,50.90%,72.73%,267.32%,75.05%
#263,0,100000,61717,24624,86341,25820,60521,111,24501,11635,50094,100.00%,61.72%,24.62%,86.34%,25.82%,60.52%,0.11%,24.50%,11.64%,50.09%,100.00%,71.48%,28.52%,86.34%,29.90%,70.10%,0.13%,28.38%,13.48%,58.02%,8579.1,115.4,27262.6,7857.6,25630.0,275.4,20779.2,27304.5,-43.8,152.8,8693.5,12462.4,558.1,9067.3,493.1,12725.3,13746.8,497.4,9411.7,13168.6,40206.4,38799.3,40432.6,39265.1,39827.2,39025.3,65494.9,40324.4,35122.4,39651.1,43.76%,37.41%,39.86%,38.09%,39.85%,37.37%,29.93%,39.71%,37.16%,37.23%,125.37%,106.87%,48.51%,122.08%,51.56%,106.33%,53.74%,48.44%,117.20%,71.70%,127.95%,48.70%,70.23%,108.32%,73.04%,47.34%,42.25%,70.07%,53.01%,47.44%
#264,0,100000,86840,1264,88104,2782,85322,13,1247,16641,70203,100.00%,86.84%,1.26%,88.10%,2.78%,85.32%,0.01%,1.25%,16.64%,70.20%,100.00%,98.57%,1.43%,88.10%,3.16%,96.84%,0.01%,1.42%,18.89%,79.68%,673.5,108.7,32017.1,566.5,14145.4,123.8,20876.6,32230.0,-53.6,147.3,17159.9,17775.8,826.4,17532.7,538.8,18086.8,13446.0,689.7,13920.7,18688.8,42775.7,42043.4,45555.9,42093.8,39703.1,42171.8,69134.8,45299.3,38532.5,42876.0,42.28%,37.70%,39.66%,37.73%,42.88%,37.55%,31.66%,39.53%,37.48%,37.69%,113.72%,110.54%,49.44%,110.21%,182.65%,110.23%,29.81%,49.64%,108.00%,72.80%,52.21%,47.12%,64.14%,47.98%,115.80%,46.01%,80.67%,63.32%,48.52%,46.55%
#265,0.06,100000,57567,25573,83140,26794,56346,139,25410,10272,47319,100.00%,57.57%,25.57%,83.14%,26.79%,56.35%,0.14%,25.41%,10.27%,47.32%,100.00%,69.24%,30.76%,83.14%,32.23%,67.77%,0.17%,30.56%,12.36%,56.91%,9209.6,121.6,27377.6,8505.3,25833.3,265.4,15578.1,27466.3,-36.2,156.7,9280.6,14233.1,571.9,10031.0,507.7,14559.6,10946.2,514.4,10588.0,15017.9,41644.8,40358.0,41818.1,40807.1,41123.8,40656.5,56162.8,41735.7,36226.0,41257.8,45.99%,37.50%,39.57%,38.11%,40.22%,37.27%,48.50%,39.52%,37.77%,37.21%,126.11%,101.81%,47.12%,122.20%,50.16%,101.89%,75.73%,47.02%,118.57%,70.95%,135.13%,47.15%,68.77%,120.44%,71.22%,45.87%,93.74%,68.49%,52.09%,46.17%
#266,0.06,100000,83742,3208,86950,4693,82257,52,3152,14978,68768,100.00%,83.74%,3.21%,86.95%,4.69%,82.26%,0.05%,3.15%,14.98%,68.77%,100.00%,96.31%,3.69%,86.95%,5.40%,94.60%,0.06%,3.63%,17.23%,79.09%,1294.7,116.0,28688.8,1170.2,19117.1,146.3,13205.7,28978.7,-48.8,152.0,17224.4,18528.6,832.2,17875.7,594.7,18861.7,18936.0,712.0,14248.7,19451.6,41468.9,41098.3,44066.2,41207.8,40398.2,41254.0,51981.5,43951.8,37415.4,41899.9,42.69%,37.27%,39.98%,37.35%,41.34%,37.13%,46.06%,39.80%,36.38%,37.20%,109.13%,105.02%,46.95%,105.21%,132.74%,104.77%,85.26%,46.15%,109.03%,72.25%,55.22%,46.54%,60.01%,48.90%,87.73%,45.50%,74.86%,59.45%,48.18%,45.90%
#267,0.09,100000,47281,37793,85074,38707,46367,417,37341,8767,38549,100.00%,47.28%,37.79%,85.07%,38.71%,46.37%,0.42%,37.34%,8.77%,38.55%,100.00%,55.58%,44.42%,85.07%,45.50%,54.50%,0.49%,43.89%,10.31%,45.31%,12832.6,117.1,26415.8,11799.9,25594.5,284.3,10068.9,26621.6,-37.3,153.6,8991.7,16258.2,610.6,9307.0,551.7,16615.9,5488.7,553.8,12171.9,17175.7,44031.2,40671.6,42502.7,41485.0,42087.1,40982.5,47776.6,42447.3,36807.3,41548.7,45.06%,37.74%,39.54%,38.52%,39.67%,37.53%,43.40%,39.47%,37.83%,37.34%,165.13%,106.24%,46.52%,169.89%,48.05%,105.90%,55.46%,46.11%,114.38%,73.16%,143.38%,47.16%,67.52%,138.16%,69.17%,45.94%,51.58%,67.07%,51.92%,46.40%
#268,0.09,100000,73392,13598,86990,15041,71949,176,13405,13614,59795,100.00%,73.39%,13.60%,86.99%,15.04%,71.95%,0.18%,13.40%,13.61%,59.79%,100.00%,84.37%,15.63%,86.99%,17.29%,82.71%,0.20%,15.41%,15.65%,68.74%,4845.1,112.9,26586.0,4251.1,23739.0,177.1,14197.4,26780.2,-45.1,149.3,15768.0,18961.7,814.1,16124.9,628.0,19364.6,12415.3,656.4,14469.7,19980.5,41352.8,39708.4,43231.9,40259.2,42178.5,39858.0,52109.9,43116.7,36323.2,40479.9,43.12%,37.29%,39.08%,37.69%,39.44%,37.25%,48.61%,38.87%,36.72%,37.20%,113.39%,108.02%,44.33%,109.80%,51.50%,107.96%,71.22%,43.96%,112.11%,73.25%,73.45%,47.57%,62.98%,62.31%,69.61%,46.42%,92.11%,62.35%,50.20%,46.76%
#269,0.12,100000,8529,75681,84210,76066,8144,687,74915,2041,6567,100.00%,8.53%,75.68%,84.21%,76.07%,8.14%,0.69%,74.91%,2.04%,6.57%,100.00%,10.13%,89.87%,84.21%,90.33%,9.67%,0.82%,88.96%,2.42%,7.80%,25272.1,158.2,26362.0,23708.0,25925.5,2996.4,10317.9,26535.2,126.0,186.5,2706.6,21596.2,598.2,2725.0,540.7,23126.4,5759.4,549.4,8791.9,25340.0,43267.6,38551.4,40536.2,40335.2,40342.1,40271.2,41509.5,40528.4,33412.3,40160.0,46.07%,38.53%,38.50%,38.45%,38.57%,37.35%,39.62%,38.49%,43.13%,36.90%,64.12%,92.26%,46.03%,52.96%,46.52%,94.81%,55.68%,45.65%,23548.63%,71.85%,80.56%,66.10%,66.92%,72.32%,67.34%,60.86%,54.57%,66.44%,171.20%,55.40%
#270,0.12,100000,16178,69405,85583,69229,16354,1360,67974,3100,13149,100.00%,16.18%,69.41%,85.58%,69.23%,16.35%,1.36%,67.97%,3.10%,13.15%,100.00%,18.90%,81.10%,85.58%,80.89%,19.11%,1.59%,79.42%,3.62%,15.36%,21773.4,146.5,25254.5,20508.3,24938.5,1754.2,10018.5,25583.9,57.7,175.8,4551.4,22066.4,664.8,4710.4,569.6,22238.9,4773.2,580.5,11977.8,24340.1,43162.9,38985.2,40977.3,40600.7,40730.7,40050.5,41329.2,40974.1,34693.5,39987.6,44.23%,36.51%,38.00%,37.72%,38.09%,36.17%,38.83%,37.98%,36.56%,35.76%,79.93%,92.45%,45.30%,63.47%,45.66%,93.98%,57.21%,44.50%,413.18%,70.29%,87.45%,57.02%,66.28%,79.43%,66.59%,57.35%,48.95%,65.38%,142.50%,52.33%
